model_name,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,training_seconds,disease
Random Forest (Balanced),0.455212625031517,0.008389019753113536,0.7520862839089225,0.34350542112443455,0.6815785724462174,0.45679365988732934,0.8052170500246263,0.41752724215907844,2.7245543003082275,diabetes
XGBoost (Balanced),0.7654875463698994,0.007468254146032181,0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9174107142857143,0.8954850358175755,0.08374619483947754,heart
Logistic Regression (Balanced),0.7053393892574084,0.019135775866547196,0.7333333333333333,0.6929133858267716,0.6821705426356589,0.6875,0.7977469513577226,0.747737985818042,0.03742575645446777,kidney
XGBoost (Balanced),0.7959732005450041,0.029469946903909743,0.7413793103448276,0.7523809523809524,0.9518072289156626,0.8404255319148937,0.7656078860898139,0.8986122985377961,0.12171292304992676,liver
Logistic Regression (Balanced),0.7171107039502695,0.021009472238263726,0.78,0.6931034482758621,0.8237704918032787,0.7528089887640449,0.8476814330447595,0.8035305068957151,0.03270530700683594,stroke
Logistic Regression (Balanced),0.9591129291742888,0.017846568367211744,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9953703703703703,0.9931011971184138,0.024013280868530273,cancer
Logistic Regression (Balanced),0.43549388088659446,0.020760744261364584,0.6816666666666666,0.28888888888888886,0.6770833333333334,0.40498442367601245,0.7391906415343915,0.4036798870337892,0.02488565444946289,pneumonia
Logistic Regression (Balanced),0.5609475310554436,0.015051786174445003,0.77,0.5,0.7971014492753623,0.6145251396648045,0.8586015433841521,0.6811369753752683,0.025314807891845703,hypertension
XGBoost (Balanced),0.517986325642667,0.014226051238230267,0.7633333333333333,0.47337278106508873,0.6015037593984962,0.5298013245033113,0.7902786945951602,0.5296854411023196,0.1679675579071045,sepsis
Random Forest (Balanced),0.8352478840920643,0.0011972875289203233,0.7583333333333333,0.8125,0.8227848101265823,0.8176100628930818,0.8047792528558197,0.8845254933913058,0.38652968406677246,dementia
XGBoost (Balanced),0.48423825484921806,0.01783834329936473,0.665,0.4099099099099099,0.5652173913043478,0.4751958224543081,0.659538193805798,0.40641700815487114,0.09470605850219727,fever
Logistic Regression (Balanced),0.5825795966758426,0.018764879137953442,0.6483333333333333,0.5384615384615384,0.6609442060085837,0.5934489402697495,0.7050145595303527,0.5915571398672057,0.0315394401550293,malaria
Logistic Regression (Balanced),0.6017737960079758,0.019166824816990575,0.6783333333333333,0.5625,0.6740088105726872,0.6132264529058116,0.7354879474672555,0.644868213498942,0.024734973907470703,typhoid
Logistic Regression (Balanced),0.5773448077355458,0.020801680370665748,0.6383333333333333,0.5257352941176471,0.6190476190476191,0.5685884691848907,0.6953389880219149,0.5653232200230247,0.02256178855895996,dengue
XGBoost (Balanced),0.6762080120329613,0.02088926920980451,0.585,0.6127450980392157,0.7331378299120235,0.6675567423230975,0.5980140173688561,0.6405920636250212,0.0929102897644043,cold
Gradient Boosting,0.870060345686784,0.0030965433867967598,0.7966666666666666,0.8276515151515151,0.9337606837606838,0.8775100401606426,0.7812095312095312,0.919575637121387,0.3009929656982422,gastro
Logistic Regression (Balanced),0.7257223414660149,0.027256913003741192,0.7266666666666667,0.6485507246376812,0.7276422764227642,0.685823754789272,0.8256281291626475,0.7816069691661436,0.022897720336914062,anemia
Logistic Regression (Balanced),0.270082978950404,0.0039958257826596495,0.575,0.210727969348659,0.5288461538461539,0.3013698630136986,0.5818276985111663,0.21575387020887274,0.018592357635498047,thyroid
Logistic Regression (Balanced),0.5495317408931361,0.017939549510564957,0.7,0.4418604651162791,0.76,0.5588235294117647,0.7825925925925925,0.5934961222896649,0.027384281158447266,asthma
Logistic Regression (Balanced),0.8028315267796075,0.006783501089469526,0.8483333333333334,0.7625,0.8433179723502304,0.8008752735229759,0.9154985501317516,0.8736572185402115,0.024394989013671875,hypertensive_crisis
